news_title,news_link,news_img_links
"Diego Maradonas doctor not in charge of football legends home care in final days, says lawyer",https://news.google.com/./articles/CAIiEIRlcEt7vmGruTbFcR9xk-EqFwgEKg8IACoHCAow5v6PATDrwA8wvuge?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/dOxDKrA3mrmn2AvboTj2jl8RS8dHgiUy0rEGt89MTb7wFAX1e5I9YLwTmEquPh8KZNLNgeICttM55Ga6LhU8=-p-df-h100-w100-rw
'They all want to do a Sancho' - Why German football is the new hotbed for English talent,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LmdvYWwuY29tL2VuLWluL25ld3MvdGhleS1hbGwtd2FudC10by1kby1hLXNhbmNoby13aHktZ2VybWFuLWZvb3RiYWxsLWlzLXRoZS1uZXcvMWxjdnppc3NvMGt1bTFhMnppbXh3ajZlYXXSAXpodHRwczovL3d3dy5nb2FsLmNvbS9lbi1pbi9hbXAvbmV3cy90aGV5LWFsbC13YW50LXRvLWRvLWEtc2FuY2hvLXdoeS1nZXJtYW4tZm9vdGJhbGwtaXMtdGhlLW5ldy8xbGN2emlzc28wa3VtMWEyemlteHdqNmVhdQ?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/proxy/b06neT48z-qwUn71tpaWNXBiGX7584ytCGcF9j_1nOOBnY6cqOsOjfDAFQvvfVkXA2bvG6rcNjDz_Greed2XLRqvPTxtH3EK1VQBT4ROOx2mtpW7TnWXeYPpic1QXW-Qc2bho9IsGhiUSyV6b5XflmLvEJW0LCWvvJijNK1PkokefA-MVVLZHgW0D8tytCprbLmdFZhtA4ifmcU8nRQt0dNeaU66cBIE7umDziY3l8QE=-p-df-h100-w100-rw
Kodagu FC players get football lifeline,https://news.google.com/./articles/CAIiEJYTpBKW7pfTqr4yrZiru64qGQgEKhAIACoHCAowzrL9CjDC7vQCMICT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/WO1IfEcsiiC-SXn0mr-R48mh9IZZWXkbUtIlqeGXQq4fqSMkswZOjTMI296wgTnSOqC-KKPyPbg2qTLRTg0=-p-df-h100-w100-rw
Euro 2020: Switzerland beat France on penalties to reach last eight,https://news.google.com/./articles/CAIiEFvQg8qj3jOg44n3MuZNQ1MqGQgEKhAIACoHCAowzrL9CjDC7vQCMK2y1gU?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/5Eb48hoAMqfT2MyK_Eq6diM_JYh7jOY9_dItcWBqdxGfaVJs5GygCnQmSac_thhKoL-gmY5f7STaY4xgCcs=-p-df-h100-w100-rw
"One goalkeeping gaffe, two games and 14 goals – Euro 2020 Football Daily",https://news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9mb290YmFsbC9hdWRpby8yMDIxL2p1bi8yOS9ldXJvLTIwMjAtZm9vdGJhbGwtZGFpbHktcG9kY2FzdC1mcmFuY2Utc3dpdHplcmxhbmQtc3BhaW4tY3JvYXRpYdIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh6.googleusercontent.com/proxy/3HEmQgwq4QWOUKtlvig-FsnpJJIQk_KlqtdCpQv4-XDpnBEbN-H3tjuv1s_3SP2GBZOYjRx5sBGn4rJM-UhMxSWX8wzd-aO_FXugHRTXioVnboapshNMim47wyfXh3mLAhST-o1Y30h6LLboPLyT7J34Ux3s6RVwo3VVziHgehAU_u91TJYdSuqpZsf_paCXQ9kXLmlW0fxDh7buJPUudgaDgvi5Tati1pm5B_r3wy4--r2T-EJ76OnphhevlttoPzSX6e7l-Hzh3nx7fVntLOHlzvcfQzcTgMISzP4lBBq5jMStklH1zEoUN4Z-s1HciyvKFxWu-V4T1fFuHJSY7pGqGBzFD-ElXiZI-Ib60vWdCDHd4cUtDbG_ksA_rNM2RHhOOA068mi4g8C8WpuDWsCL2R0kehSqtYgLMJJ02ac96hjf7le38JAa_MfZugcTCQ3xRmbq__ME1AY=-p-df-h100-w100-rw
"Thank you, football: Reactions after Spain, Croatia, Switzerland, France light up Euro 2020",https://news.google.com/./articles/CBMidWh0dHBzOi8vc2Nyb2xsLmluL2ZpZWxkLzk5ODc2Ni90aGFuay15b3UtZm9vdGJhbGwtcmVhY3Rpb25zLWFmdGVyLXNwYWluLWNyb2F0aWEtc3dpdHplcmxhbmQtZnJhbmNlLWxpZ2h0LXVwLWV1cm8tMjAyMNIBeWh0dHBzOi8vYW1wLnNjcm9sbC5pbi9maWVsZC85OTg3NjYvdGhhbmsteW91LWZvb3RiYWxsLXJlYWN0aW9ucy1hZnRlci1zcGFpbi1jcm9hdGlhLXN3aXR6ZXJsYW5kLWZyYW5jZS1saWdodC11cC1ldXJvLTIwMjA?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh5.googleusercontent.com/proxy/yASkqY2V7uI2n3UslhFFvyXMVKSk-DvcqTs-m3kOi_RhQIA-cE79FZqnENIHPfRdmYVZidJspxXBA1uu7_8wthZlO9NxNRACFqPiY-L_RweIfj8LFLBH7vGgZmQuXFc2L9q2PDfIQ0uNP5hDptnc=-p-df-h100-w100-rw
"Dreams crushed, earnings lost as India’s football Mecca falls silent",https://news.google.com/./articles/CAIiEKm4bejEuuu7DetdOWxaiIUqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/ek7P0WqNS8R1vLCzaJRLo4Sp7K99faND1yhZ2bZCfJTeh6Zv6iVmaq9U1uYdwHbgX560w9GtB1nKk32g3jY=-p-df-h100-w100-rw
England’s one-sided football rivalry with Germany loses its bite,https://news.google.com/./articles/CAIiELhJpyJaZQqBNMitsxj6PEkqFwgEKg8IACoHCAow-4fWBzD4z0gwgtt6?uo=CAUiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzQ5NWRjMDAwLWNjMTQtNDQ3NS04NWU0LTdjNWNkMmRkMzQyNdIBAA&hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh5.googleusercontent.com/proxy/GoMD5bEaGCmqCVXsEUwYwKwLdwuSfD5dZmK5JI89s1M0VmVn4gq13mUUDHq-AAkP5Bul4ettYuYfGhwaFpYk0VcM7ZI7qcbzPxHVQJXGo0mjdL9aBkbCSCF49KzXZWIjpRgDE_W0f710jeW6S6DWcwDhto4=-p-df-h100-w100-rw
Football Beyond Borders – a photo essay by Sebastian Barros,https://news.google.com/./articles/CAIiEDvWiv_R0-p97EykqbtEGIgqFggEKg4IACoGCAowl6p7MN-zCTCOvRU?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/GtS__zxw9RRctPlAkquE7BN3iq6BWjHiCJTeIJr5RBDBteDE9gGVYioe-LvR_wT0UXSXK_GB2NzwtQ2TmQc=-p-df-h100-w100-rw
FSU Football: Top 5 most important defensive players for 2021,https://news.google.com/./articles/CAIiEMhKpSTV5EBtvjl-uEeqMYoqGQgEKhAIACoHCAowoNiVCzCo-qwDMKCz6wY?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/InQlmprzHRbn7tnH8MMICTF-NOdTe6VgYzlt-f8jNVqu0EcagrV40ko1sj-_RcBt3OkluGU4Zl7s6jduHg=-p-df-h100-w100-rw
Texas A&M Football: Electric top-100 WR prospect has Aggies in top six,https://news.google.com/./articles/CAIiEOhsdEFnAEGyQz2Co8zNUaMqGQgEKhAIACoHCAow29eVCzDj-awDMPmU6wY?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/5OP89HtpmcHEdH61u1s7eAG0DMuodCpJcciwgzNK9a39g6xpLmU_NkEqQhwzgHorZ9gVpAeVydd0bwodrrA=-p-df-h100-w100-rw
Olympics 2020: When do the football tournaments start & which teams have qualified?,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmdvYWwuY29tL2VuL25ld3Mvb2x5bXBpY3MtMjAyMC13aGVuLWZvb3RiYWxsLXRvdXJuYW1lbnRzLXN0YXJ0LXdoaWNoLXRlYW1zL3NlbWs4YXJ1YjRzdTE3M3k0ZWhraDJudm_SAXRodHRwczovL3d3dy5nb2FsLmNvbS9lbi9hbXAvbmV3cy9vbHltcGljcy0yMDIwLXdoZW4tZm9vdGJhbGwtdG91cm5hbWVudHMtc3RhcnQtd2hpY2gtdGVhbXMvc2VtazhhcnViNHN1MTczeTRlaGtoMm52bw?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh6.googleusercontent.com/proxy/so_qwnq5iNRm3-rrnvikfcCSqqT56W7_Zhp12vSttV-QWpOIwHlP9fsJZ4FFrOG_xRy9aekcjtHacZjun8HwBWSjUdlkAN1nAk7KBVB0nUhHAI7cNWmUUDXr7daJs4-HK9t-JP6_7a1i0R_IshwCrQP8eyGqG8FISRpe3zA2IB3pFLwibLPln0oifrth-wT-rRsUVy2JxO_vLyjR_RuSF5YjftVNCnOty3DCusBpVMFSawd2zoly6CYRiS2Ew0yUOpioZA=-p-df-h100-w100-rw
"Euro 2020: Unai Simon taught us important lesson in football, says Spain coach Enrique",https://news.google.com/./articles/CBMijgFodHRwczovL3d3dy5hbmluZXdzLmluL25ld3Mvc3BvcnRzL2Zvb3RiYWxsL2V1cm8tMjAyMC11bmFpLXNpbW9uLXRhdWdodC11cy1pbXBvcnRhbnQtbGVzc29uLWluLWZvb3RiYWxsLXNheXMtc3BhaW4tY29hY2gtZW5yaXF1ZTIwMjEwNjI5MTE0MTM10gGUAWh0dHBzOi8vd3d3LmFuaW5ld3MuaW4vbmV3cy9zcG9ydHMvZm9vdGJhbGwvZXVyby0yMDIwLXVuYWktc2ltb24tdGF1Z2h0LXVzLWltcG9ydGFudC1sZXNzb24taW4tZm9vdGJhbGwtc2F5cy1zcGFpbi1jb2FjaC1lbnJpcXVlMjAyMTA2MjkxMTQxMzU_YW1wPTE?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh5.googleusercontent.com/proxy/0ns8JWypAj8n7AHzT4sG5H0tCxfKrBHpQNNwSC8CZsDRB8H4oVnd3qz-zm1tBw7Bl9S2Bd0vEXUOOfxwos6_Q_w5Pjh-vJyanOZe0X7Ik9B37knI7-Wamor9EvuTFVfAmqgAz80W2sfY1OD24Q=-p-df-h100-w100-rw
"“Football Is Gay,” Says Official NFL Pride Month Video Posted To Twitter",https://news.google.com/./articles/CAIiEKfBYlx5AwlGSovVsJS3UR8qFggEKg0IACoGCAowoPUEMKAjMLyu7wY?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/Fe-YnMgO29pt2rivOf1UQ6LlD6ABbpX8CH5zDs8D8l1zoD8sNRMqSP_5EmwcApOQDyXKdGjiAqVLUeqqLg=-p-df-h100-w100-rw
Explained: How scrapping of away-goal rule will encourage attacking football,https://news.google.com/./articles/CAIiEChSRdFiaA6Yo2auwQ_F1GgqGAgEKg8IACoHCAow3rvTBDD89X4wwLbmBQ?uo=CAUigAFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvZXhwbGFpbmVkL2V4cGxhaW5lZC1ob3ctc2NyYXBwaW5nLW9mLWF3YXktZ29hbC1ydWxlLXdpbGwtZW5jb3VyYWdlLWF0dGFja2luZy1mb290YmFsbC03Mzc0ODEzL9IBAA&hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/ANt1jt9ijqRxROPBD_PVr1Iej1M_OA7nVCVZq_bnXfvV5watzVxQq1yMEApjYMqEyzs-D2cFZFJ0j27D6A=-p-df-h100-w100-rw
Cristiano Ronaldo becomes joint top-scorer in mens international football,https://news.google.com/./articles/CBMijwFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vYXJ0aWNsZS9zcG9ydHMvY3Jpc3RpYW5vLXJvbmFsZG8tYmVjb21lcy1qb2ludC10b3Atc2NvcmVyLWluLW1lbi1zLWludGVybmF0aW9uYWwtZm9vdGJhbGwtMTIxMDYyNDAwMTQwXzEuaHRtbNIBkwFodHRwczovL3dhcC5idXNpbmVzcy1zdGFuZGFyZC5jb20vYXJ0aWNsZS1hbXAvc3BvcnRzL2NyaXN0aWFuby1yb25hbGRvLWJlY29tZXMtam9pbnQtdG9wLXNjb3Jlci1pbi1tZW4tcy1pbnRlcm5hdGlvbmFsLWZvb3RiYWxsLTEyMTA2MjQwMDE0MF8xLmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh5.googleusercontent.com/proxy/RP52SkK1gq896y5Y20Kjs6GjkEFVpnmK9BA4q7eX54xTgSc1z5nuQNUIuaC2YV0-csfB49otWe4O9bCYAekK2tksfGaFRZ1aIWgwVW81OPpzisig-YqaOt6j8OqlEns1xiMUXBgAt4KA-vT-al2-VNRuv9f9z2LAOS7sW_ETARdoDgl-zkbHWWBJmOlfKwGPGTV4gcc5WuARcYs193k0yORJml2M5kF6VVe_m_DI8MBbpHA53WuMsShY4Qh5cEfxCrfO-tdatLA=-p-df-h100-w100-rw
Michigan State Football: Breaking down the Katin Houser commitment,https://news.google.com/./articles/CBMiXmh0dHBzOi8vc3BhcnRhbmF2ZW51ZS5jb20vMjAyMS8wNi8yOC9taWNoaWdhbi1zdGF0ZS1mb290YmFsbC1icmVha2luZy1rYXRpbi1ob3VzZXItY29tbWl0bWVudC_SAWJodHRwczovL3NwYXJ0YW5hdmVudWUuY29tLzIwMjEvMDYvMjgvbWljaGlnYW4tc3RhdGUtZm9vdGJhbGwtYnJlYWtpbmcta2F0aW4taG91c2VyLWNvbW1pdG1lbnQvYW1wLw?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh4.googleusercontent.com/proxy/7R6D4HfJhvZLGx9wfTHRppNTtGuX6CNpqefnTd5aHmASgVgdhxZDO1i0pD8XbnCNAmptb5imkqqP3G5N4HebAE6GRUkBNc51FhBfUIdtWNjKncmRtsvps1nu89sM5IKrEJAdbsrbcsTI0tMx=-p-df-h100-w100-rw
Drew Stevens Commits to Iowa Football | Recruiting | hawkeyenation.com,https://news.google.com/./articles/CAIiEKUn0SPExUup6sD6b0zoiksqMwgEKioIACIQnkSRtqNb56tB0ujhbWLbeyoUCAoiEJ5EkbajW-erQdLo4W1i23sw-p3yBg?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/-1oq7qg0snhQb9ClHzs3O5EKtUzYuywpgnUj-Ir5dBJfYtEJQtrwGjfUTbDY7Aa1eCXiE392leAuNyuesGQ=-p-df-h100-w100-rw
Why European football clubs won’t break the bank now,https://news.google.com/./articles/CAIiEET3RrTcjT5uGpvbtn2hoi8qFwgEKg4IACoGCAowxLQ_MNevCDDnvNMF?uo=CAUidmh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9zcG9ydHMvZm9vdGJhbGwtbmV3cy93aHktZXVyb3BlYW4tZm9vdGJhbGwtY2x1YnMtd29uLXQtYnJlYWstdGhlLWJhbmstbm93LTExNjIzODIyMzM3NDE1Lmh0bWzSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh6.googleusercontent.com/proxy/tx5BEbRjVK8_W_6yjpRPnNSmc1yU8UPw69JIwwZ-w8w2EeyL9Ei1B7Hozv6U5jwhhLDYlD6GyaOtm8Wi7Q7QeLR4s4Zq-ybfn0pITsYjjlIvOLGO0feuGtlJsadTvrt8MOrZMEJJzMmvEwjl3n_-h7IPgN7yWkGGmR02tAA_Fv5lrhwr4XaxBx-AANkSBoHnXPlsboU4ov-11ZcLfwLuLa1EPiglDQ2j1mWWioIvKIUg8MY=-p-df-h100-w100-rw
Illinois Football: Illini pick up Crystal Ball prediction for Mississippi athlete,https://news.google.com/./articles/CAIiEEir7y-dwSVLVmUgaJdaKUMqGQgEKhAIACoHCAowhOSVCzCnhq0DMODE6wY?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/itfRghKxv8EPJf3WHhw5MUSoaZghmMjIoLYkuhXsuqYNj6GMTA-_c-aKMuw-oS1Yfl-48gDZ6QwJuZUCow=-p-df-h100-w100-rw
Pro Football Hall of Fame honors late John Facenda with Pete Rozelle Radio-Television Award,https://news.google.com/./articles/CBMif2h0dHBzOi8vd3d3LmVzcG4uaW4vbmZsL3N0b3J5L18vaWQvMzE3MjY4NDIvcHJvLWZvb3RiYWxsLWhhbGwtZmFtZS1ob25vcnMtbGF0ZS1qb2huLWZhY2VuZGEtcGV0ZS1yb3plbGxlLXJhZGlvLXRlbGV2aXNpb24tYXdhcmTSAYwBaHR0cHM6Ly93d3cuZXNwbi5pbi9uZmwvc3RvcnkvXy9pZC8zMTcyNjg0Mi9wcm8tZm9vdGJhbGwtaGFsbC1mYW1lLWhvbm9ycy1sYXRlLWpvaG4tZmFjZW5kYS1wZXRlLXJvemVsbGUtcmFkaW8tdGVsZXZpc2lvbi1hd2FyZD9wbGF0Zm9ybT1hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh5.googleusercontent.com/proxy/FbDL01gqqx8gxfiWsvtWT5KWfFgS9RyqMYJavXq9XGLoT7CkRcDT6n2RAOcqUGxCo8s7mSHXZMhMi_pPNOmhYi5Arv81W6tfT1aXsIcFwpcKRPveduJP51VY9lfAoxCMzUyc=-p-df-h100-w100-rw
68 Days to Purdue Football: Cam Craig,https://news.google.com/./articles/CAIiEEReZFm_H3fZwJbU4ONj-b4qGQgEKhAIACoHCAowivuECzDxhIIDMKSFhQY?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/3ibL9sJ6X4fZkBxVQTy6HSplt-eVscNxtlNbPrYa0Lu6UNkPi8PlLcuC2L1VHrVNpsue4bNG9LJwLYIme5o=-p-df-h100-w100-rw
"Czech Republic vs. England - Football Match Report - June 23, 2021",https://news.google.com/./articles/CBMiM2h0dHBzOi8vd3d3LmVzcG4uaW4vZm9vdGJhbGwvcmVwb3J0L18vZ2FtZUlkLzU2MDMxM9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh6.googleusercontent.com/proxy/aiuiaPXg2Ec3SGwnkIN0Dwgsl0qljgSrhGvH5n6lUJx8JEVabv_OKtslGJ0CEa1MQml86WlQY57TPLyo6VotkP8ZdHNVGNO_TlJR-Ff6zamS5Z9IyhajGZpz-lT9DDUdbTnwnGEVHI5khJfzO5ndGEpmZuA=-p-df-h100-w100-rw
